COR CODEX — Super Matrix (27 Systems),,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE_SYSTEM,ENTRY,ALCHEMY,ARCHETYPES,COLORS,CRYSTALS,DEITIES,ELEMENTS,FREQUENCY,GEOMANCY,GEOMETRY,I_CHING,KABBALAH,LETTERS_HEBREW,LETTERS_LATIN,MAJOR_ARCANA,MAYAN,METALS,MINOR_ARCANA,NOTES,NUMBERS,PHYSIOLOGY,PLANETS,PLANTS,PLATONIC_SOLIDS,VICES,VIRTUES,ZODIAC,CHAKRAS
ALCHEMY,Separation,Separation,The Sage; The Priest,Yellow; Grey,FLUORITE; CLEAR-QUARTZ,Athena [Greek]; Hermes [Greek]; Raziel [Angelic],Air,741 Hz — Awakening,Albus — The White One; Carcer — The Prison,Line,38 — Opposition (Kui); 06 — Conflict (Song),Hod (Glory),Zayin,S,XI — Justice; IX — The Hermit,Etznab,Mercury,Two of Swords; Queen of Swords,F♯,3,Nervous system; Lungs,☿ Mercury,Dill; Parsley; Artemisia,Octahedron,"Paralysis (Fear, Indecision); Dogmatism (Fanaticism)","Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness)",♍ Virgo; ♊ Gemini,THROAT-VISHUDDHA; AJNA-THIRD-EYE
ALCHEMY,Sublimation,Sublimation,The Mystic; The Explorer; The Prophet,Violet; White,MOLDAVITE; LABRADORITE; SELENITE,Metatron [Angelic]; Urania [Other]; Thoth [Egyptian],Aether,963 Hz — Crown,Fortuna Minor — Lesser Fortune; Caput Draconis — Dragon’s Head,Point; Sphere,46 — Pushing Upward (Sheng); 20 — Contemplation (Guan),Kether (Crown),Heh,U,XVII — The Star; XX — Judgement,Men,Aluminum,Eight of Wands; Page of Swords,B,8,Pineal; Spine,♅ Uranus,Frankincense; Mullein; Heliotrope,Star Tetrahedron (Merkaba),"Aimlessness (False starts, Disarray); Nihilism (Detachment)","Initiation (New life, Threshold); Insight (Awareness, Light in darkness)",♒ Aquarius,CROWN-SAHASRARA
ARCHETYPES,The Creator,Fermentation,The Creator,Gold; Violet; Emerald,CITRINE; EMERALD; CLEAR-QUARTZ,Ptah [Egyptian]; Brahma [Hindu]; Saraswati [Hindu],Fire; Aether,528 Hz — Miracles; 30–100 Hz — Gamma (Peak Cognition),Conjunctio — Union; Caput Draconis — Dragon’s Head,Flower of Life; Metatron's Cube,01 — Creative (Qian); 14 — Possession (Da You),Chokmah (Wisdom); Tiferet (Beauty),Bet,C,I — The Magician; III — The Empress,Chuen,Mercury; Copper,Ace of Wands; Three of Pentacles,E,3,Nervous system; Reproductive system,☿ Mercury; ♀ Venus,Cacao; Bay Laurel,Star Tetrahedron (Merkaba); Dodecahedron,"Chaos (Disorder, Disarray); Pride (Arrogance, Hubris, Vanity)","Energy (Intensity, Creativity, Imagination); Beauty (Grace, Magnetism, Delight)",♊ Gemini; ♎ Libra,SACRAL-SVADHISTHANA; SOLAR-PLEXUS-MANIPURA; HEART-ANAHATA
ARCHETYPES,The Destroyer,Calcination; Mortificatio; Putrefactio,The Destroyer,Black; Red; Crimson,OBSIDIAN; BLACK-TOURMALINE; BLOODSTONE,Sekhmet [Egyptian]; Hades [Greek]; Pluto [Other]; Shiva [Hindu],Fire; Earth,396 Hz — Liberation; 140.25 Hz — Pluto,Cauda Draconis — Dragon’s Tail; Rubeus — The Red One,Triangle; Point,23 — Splitting Apart (Bo); 51 — Aroused (Zhen); 49 — Revolution (Ge),Geburah (Severity); Malkuth (Kingdom),Shin,D,XIII — Death; XVI — The Tower,Cimi,Iron; Plutonium; Lead,Ten of Swords; Five of Wands,D♯,13,Bones; Blood; Adrenals,♇ Pluto; ♂ Mars; ♄ Saturn,Yew; Nightshade; Cypress,Tetrahedron,"Violence (Aggression, Destruction, Abuse); Nihilism (Detachment); Obsession (Attachment)","Renewal (Transformation, Resurrection); Will (Drive, Resolve, Bravery)",♏ Scorpio; ♈ Aries,ROOT-MULADHARA; SOLAR-PLEXUS-MANIPURA
ARCHETYPES,The Explorer,Sublimation,The Explorer,Blue; Indigo,LABRADORITE; TURQUOISE; MOLDAVITE,Hermes [Greek]; Heimdall [Norse]; Uriel [Angelic],Air; Aether,741 Hz — Awakening; 13–30 Hz — Beta (Active Thinking),Via — The Path; Caput Draconis — Dragon’s Head,Line; Pentagon,56 — The Wanderer (Lv); 53 — Development (Jian),Chokmah (Wisdom); Netzach (Victory),Samekh,E,0 — The Fool; XVII — The Star,Eb,Mercury; Aluminum,Eight of Wands; Page of Wands,E,7,Lungs; Nervous system,♅ Uranus; ☿ Mercury,Artemisia; Juniper; Cedar,Dodecahedron,"Aimlessness (False starts, Disarray); Frivolity (False optimism, Sentimentality)","Freedom (Aspiration, Release); Insight (Awareness, Light in darkness)",♐ Sagittarius; ♒ Aquarius,THROAT-VISHUDDHA; AJNA-THIRD-EYE; CROWN-SAHASRARA
ARCHETYPES,The Father,Coagulation,The Father,Gold; Grey,TIGERS-EYE; PYRITE,Zeus [Greek]; Osiris [Egyptian]; Vishnu [Hindu],Earth,174 Hz — Foundation; 183.58 Hz — Jupiter,Fortuna Major — Greater Fortune; Carcer — The Prison,Square; Cube,37 — Family (Jia Ren),Chesed (Mercy),Vav,F,IV — The Emperor,Ben,Tin; Gold,King of Pentacles,F,4,Skeletal system; Spine,♃ Jupiter; ♄ Saturn,Oak; Cedar,Hexahedron,Domination (Harshness); Dogmatism (Fanaticism),"Preservation (Survival, Resource awareness); Sovereignty (Authority, Nobility, Justice)",♑ Capricorn; ♐ Sagittarius,ROOT-MULADHARA
ARCHETYPES,The Healer,Distillation; Conjunction,The Healer,Green; Blue; White,AMETHYST; CLEAR-QUARTZ; GREEN-AVENTURINE,Kuan Yin [Other]; Raphael [Angelic]; Isis [Egyptian],Water; Aether,528 Hz — Miracles; 285 Hz — Transformation,Albus — The White One; Conjunctio — Union,Vesica Piscis; Circle,27 — Nourishment (Yi); 48 — The Well (Jing),Tiferet (Beauty); Yesod (Foundation),Tav,H,XIV — Temperance; XVII — The Star,Manik,Silver; Copper,Queen of Cups; Six of Pentacles,F,6,Immune system; Lymphatic system; Heart,☉ Sun; ☽ Moon,Angelica; Calendula; Mullein; White Sage,Icosahedron,"Self-sacrifice (The shadow of service/martyrdom); Dependence (Naïveté, Blind belief, Over-conformity)","Clarity (Illumination, Healing, Vision); Renewal (Transformation, Resurrection); Devotion (Loyalty, Mercy, Compassion, Empathy)",♓ Pisces; ♍ Virgo,HEART-ANAHATA; AJNA-THIRD-EYE; CROWN-SAHASRARA
ARCHETYPES,The Hero,Calcination; Rubedo,The Hero,Gold; Red,TIGERS-EYE; CARNELIAN; CITRINE,Heracles [Other]; Michael [Angelic]; Apollo [Greek],Fire,396 Hz — Liberation; 144.72 Hz — Mars,Fortuna Major — Greater Fortune; Puer — The Youth,Pentagon; Triangle,40 — Liberation (Jie); 34 — Great Power (Da Zhuang),Tiferet (Beauty); Geburah (Severity),Teth,H,VIII — Strength; VII — The Chariot,Ben,Iron; Gold,Six of Wands; Knight of Wands,D,8,Muscular system; Heart,♂ Mars; ☉ Sun,Laurel; Oak; Rosemary,Tetrahedron,"Pride (Arrogance, Hubris, Vanity); Violence (Aggression, Destruction, Abuse)","Confidence (Strength, Mastery); Will (Drive, Resolve, Bravery)",♌ Leo; ♈ Aries,SOLAR-PLEXUS-MANIPURA
ARCHETYPES,The Innocent,Dissolution,The Innocent,White; Yellow,CLEAR-QUARTZ; MOONSTONE,Christos [Other]; Kuan Yin [Other],Aether; Water,174 Hz — Foundation; 528 Hz — Miracles,Fortuna Minor — Lesser Fortune; Via — The Path,Circle; Point,25 — Innocence (Wu Wang); 24 — Return (Fu),Kether (Crown); Yesod (Foundation),Aleph,A,0 — The Fool,Imix,Silver,Page of Cups,C,0,Pineal; Heart,☽ Moon,Chamomile; Lily,Dodecahedron,"Dependence (Naïveté, Blind belief, Over-conformity)","Freedom (Aspiration, Release); Initiation (New life, Threshold)",♓ Pisces,AJNA-THIRD-EYE; CROWN-SAHASRARA
ARCHETYPES,The King,Citrinitas; Rubedo,The King,Gold; Red,CITRINE; SUNSTONE; PYRITE,Zeus [Greek]; Apollo [Greek]; Osiris [Egyptian],Fire,126.22 Hz — Sun; 432 Hz — Harmony,Fortuna Major — Greater Fortune,Square; Cube,14 — Possession (Da You); 43 — Breakthrough (Guai),Tiferet (Beauty),Resh,K,IV — The Emperor; XIX — The Sun,Ahau,Gold,King of Wands; King of Pentacles,C♯,1,Heart; Spine,☉ Sun; ♃ Jupiter,Bay Laurel; Sunflower; Oak,Hexahedron,"Pride (Arrogance, Hubris, Vanity); Domination (Harshness)","Sovereignty (Authority, Nobility, Justice); Confidence (Strength, Mastery)",♌ Leo,SOLAR-PLEXUS-MANIPURA
ARCHETYPES,The Lover,Conjunction,The Lover,Pink; Emerald; Copper,ROSE-QUARTZ; EMERALD; PEARL,Aphrodite [Greek]; Eros [Greek]; Freya [Norse]; Ishtar [Sumerian],Earth; Water,221.23 Hz — Venus; 639 Hz — Harmony/Connection,Puella — The Maiden; Conjunctio — Union; Laetitia — Joy,Hexagon; Vesica Piscis,31 — Influence (Xian); 54 — Marrying Maiden (Gui Mei),Netzach (Victory),Daleth,L,VI — The Lovers,Lamat,Copper,Two of Cups; Queen of Cups,A,6,Heart; Kidneys; Reproductive system,♀ Venus,Rose; Apple Blossom; Jasmine; Myrtle,Hexahedron,"Lust (Overindulgence, Hunger); Obsession (Attachment)","Beauty (Grace, Magnetism, Delight); Union (Synthesis); Devotion (Loyalty, Mercy, Compassion, Empathy)",♉ Taurus; ♎ Libra,SACRAL-SVADHISTHANA; HEART-ANAHATA
ARCHETYPES,The Mother,Conjunction; Coagulation,The Mother,Green; Pink; Silver,MOONSTONE; ROSE-QUARTZ; PEARL,Demeter [Greek]; Gaia [Greek]; Isis [Egyptian],Water; Earth,639 Hz — Harmony/Connection; 210.42 Hz — Moon,Populus — The People; Puella — The Maiden,Circle; Vesica Piscis,02 — receptive (Kun); 37 — Family (Jia Ren),Binah (Understanding),Daleth,M,III — The Empress,Imix,Silver; Copper,Queen of Cups; Queen of Pentacles,A,3,Reproductive system; Heart,☽ Moon; ♀ Venus,Rose; Apple; Lily,Icosahedron,"Self-sacrifice (The shadow of service/martyrdom); Dependence (Naïveté, Blind belief, Over-conformity)","Fertility (Abundance); Devotion (Loyalty, Mercy, Compassion, Empathy)",♋ Cancer; ♉ Taurus,SACRAL-SVADHISTHANA; HEART-ANAHATA
ARCHETYPES,The Mystic,Sublimation; Dissolution,The Mystic,Violet; Indigo; Silver,AMETHYST; LABRADORITE; MOONSTONE,Hecate [Other]; Kuan Yin [Other]; Neptune [Other],Aether; Water,"963 Hz — Crown; 4–8 Hz — Theta (Meditation, Dreams)",Via — The Path; Populus — The People,Vesica Piscis; Sri Yantra,29 — Abyss (Kan); 61 — Inner Truth (Zhong Fu),Kether (Crown); Yesod (Foundation),Gimel,M,XII — The Hanged Man; XVIII — The Moon,Akbal; Ix,Silver; Platinum,Queen of Cups; Four of Cups,G♯,12,Pineal; Pituitary,♆ Neptune; ☽ Moon,Blue Lotus; Mugwort; Lotus,Icosahedron; Dodecahedron,"Delusion (Illusion, Confusion); Dependence (Naïveté, Blind belief, Over-conformity)","Devotion (Loyalty, Mercy, Compassion, Empathy); Clarity (Illumination, Healing, Vision)",♓ Pisces; ♋ Cancer,AJNA-THIRD-EYE; CROWN-SAHASRARA
ARCHETYPES,The Outlaw,Separation; Calcination,The Outlaw,Black; Crimson; Copper,OBSIDIAN; HEMATITE; BLACK-TOURMALINE,Loki [Norse]; Set [Other]; Eris [Greek],Fire; Air,417 Hz — Facilitation; 140.25 Hz — Pluto,Cauda Draconis — Dragon’s Tail; Rubeus — The Red One,Line; Point,49 — Revolution (Ge); 43 — Breakthrough (Guai),Geburah (Severity); Malkuth (Kingdom),Zayin,O,XVI — The Tower; XIII — Death,Etznab,Iron; Plutonium,Five of Swords; Seven of Swords,C♯,13,Blood; Muscles,♅ Uranus; ♇ Pluto,Tobacco; Wormwood; Nightshade,Octahedron,"Chaos (Disorder, Disarray); Violence (Aggression, Destruction, Abuse); Nihilism (Detachment)","Freedom (Aspiration, Release); Will (Drive, Resolve, Bravery)",♒ Aquarius; ♏ Scorpio,ROOT-MULADHARA; SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA
ARCHETYPES,The Priest,Distillation,The Priest,White; Gold,SAPPHIRE; LAPIS-LAZULI; CLEAR-QUARTZ,Thoth [Egyptian]; Metatron [Angelic]; Vishnu [Hindu],Aether; Air,741 Hz — Awakening; 852 Hz — Intuition,Albus — The White One,Line; Triangle,20 — Contemplation (Guan); 61 — Inner Truth (Zhong Fu),Tiferet (Beauty); Chesed (Mercy),Lamed,P,V — The Hierophant,Men,Tin,King of Cups,G,5,Thyroid; Mouth,♃ Jupiter,Frankincense; Myrrh; Bay Laurel,Dodecahedron,Dogmatism (Fanaticism),"Devotion (Loyalty, Mercy, Compassion, Empathy); Clarity (Illumination, Healing, Vision)",♐ Sagittarius; ♉ Taurus,SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA; CROWN-SAHASRARA
ARCHETYPES,The Prophet,Fermentation; Citrinitas,The Prophet,Gold; White,SAPPHIRE; CITRINE,Gabriel [Angelic]; Uriel [Angelic]; Apollo [Greek],Fire; Air,741 Hz — Awakening; 13–30 Hz — Beta (Active Thinking),Caput Draconis — Dragon’s Head; Fortuna Major — Greater Fortune,Line; Triangle,49 — Revolution (Ge); 43 — Breakthrough (Guai),Tiferet (Beauty),Heh,P,XX — Judgement; V — The Hierophant,Men,Gold,Page of Swords; Knight of Wands,F♯,11,Mouth; Tongue,☉ Sun; ♃ Jupiter,Frankincense; Mullein,Tetrahedron,"Dogmatism (Fanaticism); Pride (Arrogance, Hubris, Vanity)","Clarity (Illumination, Healing, Vision); Initiation (New life, Threshold)",♐ Sagittarius; ♌ Leo,SOLAR-PLEXUS-MANIPURA
ARCHETYPES,The Queen,Conjunction,The Queen,Emerald; Pink; Copper,EMERALD; ROSE-QUARTZ; JADE,Hera [Greek]; Aphrodite [Greek]; Freya [Norse],Earth; Water,221.23 Hz — Venus; 639 Hz — Harmony/Connection,Puella — The Maiden; Acquisitio — Gain,Hexagon; Circle,31 — Influence (Xian); 58 — The Joyful (Dui),Netzach (Victory),Daleth,Q,III — The Empress,Lamat,Copper; Silver,Queen of Cups; Queen of Pentacles,A,6,Kidneys; Reproductive system; Heart,♀ Venus,Rose; Myrtle; Jasmine,Hexahedron,"Lust (Overindulgence, Hunger); Frivolity (False optimism, Sentimentality)","Beauty (Grace, Magnetism, Delight); Union (Synthesis); Fertility (Abundance)",♎ Libra; ♉ Taurus,SACRAL-SVADHISTHANA; HEART-ANAHATA
ARCHETYPES,The Sage,Distillation,The Sage,Grey; Indigo,AMETHYST; LAPIS-LAZULI; FLUORITE,Athena [Greek]; Thoth [Egyptian]; Raziel [Angelic],Air; Aether,852 Hz — Intuition; 8–13 Hz — Alpha (Relaxed Awareness),Albus — The White One,Line; Hexagram,20 — Contemplation (Guan); 61 — Inner Truth (Zhong Fu),Binah (Understanding); Hod (Glory),Yod,S,IX — The Hermit,Cib,Lead; Mercury,King of Swords,B,9,Brain; Eyes,♄ Saturn; ☿ Mercury,Sage; Mullein,Dodecahedron,"Dogmatism (Fanaticism); Paralysis (Fear, Indecision)","Insight (Awareness, Light in darkness); Clarity (Illumination, Healing, Vision)",♒ Aquarius; ♍ Virgo,THROAT-VISHUDDHA; AJNA-THIRD-EYE
ARCHETYPES,The Shadow,Mortificatio; Putrefactio,The Shadow,Black; Grey; Crimson,OBSIDIAN; BLACK-ONYX; BLACK-TOURMALINE,Hades [Greek]; Hecate [Other]; Pluto [Other],Earth; Water,"4–8 Hz — Theta (Meditation, Dreams); 396 Hz — Liberation",Cauda Draconis — Dragon’s Tail; Rubeus — The Red One,Point; Cube,36 — Darkening Light (Ming Yi); 29 — Abyss (Kan),Yesod (Foundation); Malkuth (Kingdom),Qoph,X,XVIII — The Moon; XV — The Devil,Akbal,Lead; Plutonium,Five of Cups; Eight of Swords,D♯,8,Blood; Bones; Nervous system,♇ Pluto; ♄ Saturn,Nightshade; Yew; Mandrake,Hexahedron,"Obsession (Attachment); Delusion (Illusion, Confusion); Nihilism (Detachment)","Insight (Awareness, Light in darkness); Renewal (Transformation, Resurrection)",♏ Scorpio; ♑ Capricorn,ROOT-MULADHARA
ARCHETYPES,The Trickster,Separation; Distillation,The Trickster,Yellow; Orange,AGATE; FLUORITE; LABRADORITE,Hermes [Greek]; Loki [Norse]; Hermes Trismegistus [Other],Air,141.27 Hz — Mercury; 13–30 Hz — Beta (Active Thinking),Puer — The Youth; Conjunctio — Union,Line; Pentagram,04 — Youthful Folly (Meng); 44 — Coming to Meet (Gou),Hod (Glory),Bet,T,I — The Magician; 0 — The Fool,Chuen,Mercury,Seven of Swords; Page of Swords,B,5,Nervous system; Mouth; Tongue,☿ Mercury,Dill; Mint; Artemisia,Octahedron,"Frivolity (False optimism, Sentimentality); Chaos (Disorder, Disarray); Dependence (Naïveté, Blind belief, Over-conformity)","Insight (Awareness, Light in darkness); Energy (Intensity, Creativity, Imagination)",♊ Gemini,THROAT-VISHUDDHA
ARCHETYPES,The Warrior,Calcination,The Warrior,Red; Crimson,CARNELIAN; BLOODSTONE; GARNET,Ares [Greek]; Sekhmet [Egyptian]; Michael [Angelic],Fire,144.72 Hz — Mars; 396 Hz — Liberation,Puer — The Youth; Fortuna Minor — Lesser Fortune,Triangle; Point,07 — Army (Shi); 34 — Great Power (Da Zhuang),Geburah (Severity),Peh,W,VII — The Chariot; XVI — The Tower,Chicchan,Iron,Knight of Wands; Five of Wands,D,5,Muscular system; Blood; Adrenals,♂ Mars,Chili; Ginger; Cayenne,Tetrahedron,"Violence (Aggression, Destruction, Abuse); Pride (Arrogance, Hubris, Vanity)","Will (Drive, Resolve, Bravery); Confidence (Strength, Mastery)",♈ Aries,SOLAR-PLEXUS-MANIPURA
COLORS,Black,Mortificatio; Putrefactio,The Shadow; The Destroyer; The Outlaw,Black,OBSIDIAN; BLACK-ONYX; BLACK-TOURMALINE; JET,Hades [Greek]; Anubis [Egyptian]; Ereshkigal [Sumerian]; Kronos [Greek],Earth; Water,"4–8 Hz — Theta (Meditation, Dreams); 396 Hz — Liberation",Carcer — The Prison; Cauda Draconis — Dragon’s Tail,Cube; Point,23 — Splitting Apart (Bo); 29 — Abyss (Kan); 47 — Oppression (Kun),Binah (Understanding); Malkuth (Kingdom),Tav; Qoph,X,XV — The Devil; XIII — Death; XVIII — The Moon,Akbal; Cimi,Lead; Plutonium,Ten of Swords; Five of Cups; Eight of Swords,D♯,8,Bones; Blood; Adrenals,♄ Saturn; ♇ Pluto,Nightshade; Yew; Cypress,Hexahedron,"Nihilism (Detachment); Obsession (Attachment); Violence (Aggression, Destruction, Abuse)","Renewal (Transformation, Resurrection); Preservation (Survival, Resource awareness); Insight (Awareness, Light in darkness)",♑ Capricorn; ♏ Scorpio,ROOT-MULADHARA
